,GeoLocation,station id
674060,[ 40.74275383 -74.00747359],3472.0
6387,[ 40.73172428 -74.00674436],127.0
75008,[ 40.73331967 -73.99510132],280.0
439913,[ 40.74311555 -73.98215353],540.0
523068,[ 40.77492513 -73.98266566],3159.0
109920,[ 40.68926942 -73.98912867],310.0
471080,[ 40.69681963 -73.93756926],3064.0
425593,[ 40.771522 -73.990541],530.0
641105,[ 40.6795766  -73.97854971],3417.0
70876,[ 40.69308257 -73.97178913],270.0
718898,[ 40.72019521 -74.01030064],3664.0
52495,[ 40.72317958 -73.99480012],251.0
452229,[ 40.76590936 -73.97634151],2006.0
536016,[ 40.77966809 -73.98093045],3167.0
357329,[ 40.73704984 -73.99009296],497.0
152614,[ 40.71559509 -73.9870295 ],350.0
403483,[ 40.751873 -73.977706],519.0
49730,[ 40.69327018 -73.97703874],245.0
161166,[ 40.73291553 -74.00711384],358.0
209040,[ 40.7403432  -73.98955109],402.0
107725,[ 40.71307916 -73.99851193],308.0
313449,[ 40.75640548 -73.9900262 ],477.0
13987,[ 40.72210379 -73.99724901],151.0
282076,[ 40.746745 -74.007756],459.0
285559,[ 40.71285887 -73.96590294],460.0
583063,[ 40.7806284 -73.9521667],3286.0
586232,[ 40.7857851 -73.957481 ],3292.0
638921,[ 40.6849668  -73.98620772],3411.0
687198,[ 40.8082 -73.9641],3536.0
639626,[ 40.6827549  -73.98258555],3413.0
362119,[ 40.74854862 -73.98808416],498.0
130679,[ 40.72405549 -74.00965965],328.0
197054,[ 40.74971775 -74.00295035],388.0
614142,[ 40.8008363  -73.96644925],3357.0
254143,[ 40.75255434 -73.97282625],440.0
458385,[ 40.739445 -73.976806],2012.0
336809,[ 40.73314259 -73.97573881],487.0
78810,[ 40.70764494 -73.96841526],282.0
256552,[ 40.746647 -73.993915],442.0
196012,[ 40.71273266 -74.0046073 ],387.0
423616,[ 40.7575699  -73.99098507],529.0
324671,[ 40.73935542 -73.99931783],482.0
51137,[ 40.72185379 -74.00771779],248.0
491722,[ 40.73026 -73.95394],3113.0
643992,[ 40.6859296  -74.00242364],3422.0
445375,[ 40.74444921 -73.98303529],546.0
156952,[ 40.71622644 -73.98261206],356.0
622633,[ 40.7689738  -73.95482273],3372.0
308382,[ 40.7451677  -73.98683077],474.0
243921,[ 40.74173969 -73.99415556],435.0
258192,[ 40.72740794 -73.98142006],445.0
279353,[ 40.751396 -74.005226],458.0
228461,[ 40.69580705 -73.97355569],419.0
507320,[ 40.76500525 -73.95818491],3141.0
379008,[ 40.74901271 -73.98848395],505.0
205508,[ 40.69165183 -73.9999786 ],398.0
323065,[ 40.76669671 -73.99061728],480.0
64682,[ 40.72229346 -73.99147535],265.0
597203,[ 40.7937704 -73.971888 ],3314.0
350149,[ 40.74734825 -73.99723551],494.0
85408,[ 40.73454567 -73.99074142],285.0
417303,[ 40.74765947 -73.98490707],526.0
632172,[ 40.6746957  -73.99785768],3398.0
87106,[ 40.713126 -73.984844],291.0
216266,[ 40.739323 -74.008119],405.0
147621,[ 40.73652889 -74.00618026],346.0
193474,[ 40.71494807 -74.00234482],386.0
330720,[ 40.75500254 -73.98014437],484.0
695975,[ 40.756913 -73.921631],3572.0
653873,[ 40.718822 -73.99596 ],3435.0
561045,[ 40.69102926 -73.99183363],3242.0
577824,[ 40.72951496 -73.9907527 ],3263.0
571109,[ 40.75018156 -74.00218427],3258.0
49497,[ 40.69196035 -73.96536851],244.0
286431,[ 40.73587678 -73.98205027],461.0
25576,[ 40.76068327 -73.98452729],173.0
204435,[ 40.72521311 -73.97768752],394.0
104928,[ 40.70823502 -74.00530063],306.0
687829,[ 40.6809741 -73.9710097],3537.0
616878,[ 40.6740886 -73.9787282],3361.0
395251,[ 40.74780373 -73.9734419 ],518.0
205803,[ 40.68851534 -73.9647628 ],399.0
684050,[ 40.7987859 -73.9523   ],3521.0
367486,[ 40.76228826 -73.98336183],500.0
588432,[ 40.79127  -73.964839],3295.0
464289,[ 40.711512 -74.015756],3002.0
248050,[ 40.68098339 -73.95004798],437.0
99361,[ 40.72082834 -73.97793172],302.0
368277,[ 40.744219   -73.97121214],501.0
142144,[ 40.71269042 -73.98776323],340.0
88573,[ 40.73020661 -73.99102628],293.0
715898,[ 40.74353373 -74.00367558],3658.0
391933,[ 40.75206862 -73.96784384],516.0
488892,[ 40.72557 -73.94434],3108.0
455184,[ 40.71117444 -73.99682619],2009.0
318523,[ 40.76030096 -73.99884222],478.0
32894,[ 40.74334935 -74.00681753],212.0
302921,[ 40.74345335 -74.00004031],470.0
61676,[ 40.70365182 -74.01167797],260.0
520013,[ 40.76663814 -73.95348296],3156.0
224375,[ 40.7047177  -74.00926027],415.0
238613,[ 40.72621788 -73.98379855],432.0
218630,[ 40.71076228 -73.99400398],408.0
594202,[ 40.7941654 -73.974124 ],3307.0
554658,[ 40.75724568 -73.97805914],3233.0
72116,[ 40.68650065 -73.96563307],275.0
437748,[ 40.74025878 -73.98409214],537.0
158108,[ 40.73261787 -73.99158043],357.0
432548,[ 40.70255065 -74.0127234 ],534.0
371271,[ 40.714215 -73.981346],502.0
43206,[ 40.73047309 -73.98672378],237.0
561734,[ 40.75892386 -73.96226227],3243.0
657184,[ 40.69241829 -73.98949474],3440.0
529377,[ 40.7734066  -73.97782542],3163.0
375346,[ 40.73221853 -73.98165557],504.0
188734,[ 40.73492695 -73.99200509],382.0
298832,[ 40.7652654  -73.98192338],468.0
419941,[ 40.744023 -73.976056],527.0
30199,[ 40.70905623 -74.01043382],195.0
150916,[ 40.728846 -74.008591],347.0
713035,[ 40.75272201 -73.98123622],3643.0
564344,[ 40.73143724 -73.99490342],3244.0
122739,[ 40.69236178 -73.98631746],323.0
709,[ 40.76727216 -73.99392888],72.0
139542,[ 40.73047747 -73.99906065],336.0
681010,[ 40.8011939 -73.9500739],3509.0
115318,[ 40.69383  -73.990539],314.0
514924,[ 40.77801203 -73.95407149],3147.0
55899,[ 40.73543934 -73.99453948],253.0
170916,[ 40.68900443 -73.96023854],364.0
485116,[ 40.72079821 -73.95484712],3101.0
143288,[ 40.71782143 -73.97628939],341.0
482362,[ 40.71745169 -73.95850939],3093.0
173255,[ 40.73038599 -74.00214988],368.0
531806,[ 40.7770575  -73.97898475],3164.0
162436,[ 40.75510267 -73.97498696],359.0
388349,[ 40.76087502 -74.00277668],514.0
144540,[ 40.71739973 -73.98016555],342.0
213972,[ 40.72502876 -73.99069656],403.0
252273,[ 40.7262807  -73.98978041],439.0
511529,[ 40.77632142 -73.96427393],3143.0
670978,[ 40.75668721 -73.98257732],3466.0
453998,[ 40.70569254 -74.01677685],2008.0
676294,[ 40.68841743 -73.98451656],3486.0
498733,[ 40.7671284  -73.96224618],3131.0
267577,[ 40.76227205 -73.98788205],450.0
236366,[ 40.7014851  -73.98656928],430.0
669649,[ 40.73536706 -73.98797393],3463.0
661557,[ 40.71915572 -73.94885391],3452.0
460629,[ 40.75929124 -73.98859651],2021.0
606062,[ 40.787801 -73.953559],3336.0
406302,[ 40.75992262 -73.97648516],520.0
289370,[ 40.74691959 -74.00451887],462.0
716740,[ 40.74294892 -74.00413692],3659.0
321605,[ 40.76019252 -73.9912551 ],479.0
495705,[ 40.74436329 -73.95587325],3122.0
502510,[ 40.766368 -73.971518],3136.0
128598,[ 40.7153379  -74.01658354],327.0
591395,[ 40.7919557 -73.968087 ],3301.0
521968,[ 40.77163851 -73.98261428],3158.0
496521,[ 40.74708586 -73.94977234],3125.0
701047,[ 40.66314   -73.9605695],3599.0
560688,[ 40.686203 -73.944694],3241.0
477687,[ 40.715143 -73.944507],3086.0
589689,[ 40.686371   -73.99383324],3298.0
226629,[ 40.71291224 -74.01020234],417.0
691502,[ 40.805973 -73.964928],3552.0
