,SegmentID,Coordinates
0,70896,"(-73.93915023590672, 40.84003811194584)"
1,33615,"(-73.997179301792, 40.762398908462565)"
2,33411,"(-74.00495424814217, 40.75170880559713)"
3,33968,"(-73.98720284497887, 40.760779305883766)"
4,33850,"(-73.99042394665165, 40.761456779413706)"
5,34178,"(-73.9822488606211, 40.7540547488047)"
6,34188,"(-73.98239828886332, 40.75719446921013)"
7,164341,"(-73.98707809049684, 40.71893646466539)"
8,9009052,"(-73.99649649155555, 40.71037763299376)"
9,106931,"(-73.94081460891799, 40.83065628338933)"
10,37379,"(-73.96457551695305, 40.77295862618598)"
11,110897,"(-73.98187686850429, 40.714152443749555)"
12,24550,"(-73.98378079800388, 40.715065753044925)"
13,111608,"(-73.98007417330686, 40.71365789918814)"
14,9009658,"(-73.9787627804551, 40.71360328949088)"
15,24747,"(-73.98043249019425, 40.71411551528786)"
16,260818,"(-73.98222094863627, 40.71462979700256)"
17,110900,"(-73.98335011274209, 40.71460330838779)"
18,32790,"(-73.9908692474279, 40.73431887078629)"
19,32328,"(-74.00025862775566, 40.72131389352541)"
20,32088,"(-74.0022561174715, 40.718959360180186)"
21,164257,"(-73.99600501214094, 40.726336202918716)"
22,32761,"(-73.9925997889577, 40.73036394959031)"
23,33865,"(-73.9906592105678, 40.76623342403573)"
24,33977,"(-73.98992980434576, 40.764717633983715)"
25,34120,"(-73.98622607952943, 40.7698362286916)"
26,34488,"(-73.98238258054143, 40.777616557192644)"
27,33987,"(-73.98834483536835, 40.767326339502986)"
28,33995,"(-73.98780419647161, 40.770151685490085)"
29,34116,"(-73.98725857681296, 40.7685675541555)"
30,33983,"(-73.98910120791425, 40.76600565204011)"
31,33982,"(-73.98974082955064, 40.7674926378383)"
32,106111,"(-73.98956586594946, 40.76953949907617)"
33,34388,"(-73.98512467828878, 40.77381740144593)"
34,9002554,"(-73.98594774645652, 40.77461498423087)"
35,164874,"(-73.9831082209204, 40.77425150314726)"
36,34503,"(-73.98111654713425, 40.77751668536066)"
37,9001952,"(-73.98640512618228, 40.77397690917511)"
38,34384,"(-73.98522991688135, 40.77186581968762)"
39,33860,"(-73.99156432913867, 40.76499130605142)"
40,166516,"(-73.94795806491335, 40.82538136811057)"
41,69147,"(-73.94221065161551, 40.82296086556971)"
42,173145,"(-73.93949265442299, 40.8218130918303)"
43,38912,"(-73.94505235563867, 40.82415670966153)"
44,36441,"(-73.96196187841893, 40.77076156119335)"
45,37797,"(-73.95067880433086, 40.78620621659838)"
46,36265,"(-73.96795215031125, 40.76254578560967)"
47,36282,"(-73.9660708251799, 40.765124927827365)"
48,37545,"(-73.95863323693688, 40.77532068074363)"
49,36431,"(-73.96384599403285, 40.76817520678412)"
50,37662,"(-73.9553236427459, 40.779855179449996)"
51,110898,"(-73.98529474125387, 40.714161698402926)"
52,24555,"(-73.98304410621786, 40.71550851873337)"
53,164159,"(-74.0097255264021, 40.73123064992734)"
54,32150,"(-74.00342922877559, 40.72894596086297)"
55,32198,"(-74.00191466035068, 40.731505893261904)"
56,110929,"(-74.00310201040472, 40.729518174383294)"
57,32199,"(-74.00145166789486, 40.73208747106563)"
58,31677,"(-74.00885714742157, 40.73150194401653)"
59,165861,"(-73.94547157597867, 40.763270121620295)"
60,33795,"(-73.99269740351917, 40.745342865988476)"
61,33894,"(-73.99150842987855, 40.74726556281505)"
62,140031,"(-73.96270594087095, 40.76054626117685)"
