Taxi_Zone_ID,SegmentID
4,34607
4,33218
4,9000789
24,38311
24,8101300
24,38318
24,8101942
24,8101299
12,22995
13,161431
13,240715
13,259562
13,18183
13,31463
41,158972
41,159057
41,166478
41,38839
41,38343
41,38613
45,9009052
45,23944
42,38877
42,173145
42,69147
42,9007955
43,34257
43,34262
43,36022
43,262650
43,36026
43,257463
43,257468
43,35876
43,111161
43,36041
43,111180
43,111182
43,36195
43,111176
43,136403
43,146730
43,146736
43,37187
43,146086
43,37316
43,8100788
43,9017019
43,37421
43,37423
48,33968
48,34116
48,33850
48,33977
48,33983
48,33987
50,159023
50,142839
50,33615
50,33860
50,33865
50,33982
50,106111
68,220852
68,33646
68,33653
79,32932
79,33255
79,9003358
79,33246
79,33119
79,33116
79,33115
74,9017082
74,9017077
74,9001105
74,159243
74,158710
74,69072
75,37899
75,9004779
75,37910
75,37797
75,158852
75,159152
75,9006772
87,23193
87,23205
87,23202
90,32459
125,31873
125,31884
125,31909
125,31914
107,164461
107,158579
107,158719
107,33184
113,32742
113,32761
113,106040
113,32775
113,32784
113,32790
114,158683
114,164257
114,32565
116,38802
116,38689
116,158999
116,38916
116,38912
116,38793
116,38915
116,166516
116,70616
116,70635
116,158581
116,158958
116,146748
127,72609
127,270736
128,270739
151,37508
151,37521
151,37524
151,9009549
151,9009551
151,9009641
151,37612
151,8100665
140,136811
140,36517
140,36931
137,215713
137,9009464
141,188852
141,36375
141,140031
141,36388
141,36403
142,158808
142,158858
142,164814
142,34470
142,164871
142,8101789
142,37063
142,37074
142,37077
142,37078
142,34120
142,34122
142,34384
142,164874
142,34503
142,37079
142,227925
152,38663
152,9003328
143,33995
143,34338
143,34388
143,9001952
143,9002554
143,34332
143,9009491
143,9009495
143,34488
144,159016
148,32651
148,164341
148,164356
148,164301
148,164299
148,32858
148,32859
148,32880
148,9001834
158,164159
158,31677
161,257407
161,34178
163,271310
163,36016
163,35868
163,257802
163,35869
164,33892
164,33891
164,34019
164,34022
170,34129
170,164775
170,35883
170,273771
170,35765
170,35915
170,35925
170,35771
170,35914
166,146528
166,146527
166,166308
166,38350
166,38363
166,38362
166,166317
186,33796
186,33795
186,33649
186,33894
186,33899
186,33898
186,33912
186,33809
209,23365
211,32086
211,32115
211,32328
224,165004
230,34188
230,34079
231,254132
231,23224
231,23261
231,162338
231,31478
231,31773
231,31550
231,32072
231,110911
231,31778
231,32088
231,31808
231,31816
231,31811
231,31825
239,37188
239,37189
239,37198
239,37202
239,37204
239,37302
239,165883
239,34542
239,34537
239,37207
239,37103
239,164915
239,37303
239,37304
239,37307
239,37308
239,37309
232,162681
232,32841
232,9003307
232,110897
232,110898
232,110900
232,260818
232,24550
232,24555
232,33212
232,9009658
232,111608
232,24747
233,194467
233,147486
233,147489
233,147488
233,147487
233,146127
233,36228
233,146126
233,146115
233,145851
234,33012
234,33883
234,164411
234,158696
234,159257
234,33876
236,37546
236,37545
236,166022
236,166015
236,37470
236,37662
236,37888
236,37898
237,36274
237,36265
237,36277
237,158736
237,158626
237,36164
237,36282
237,165558
237,36431
237,37379
237,37438
237,36441
237,37448
238,37313
238,37399
238,9002834
238,37407
238,9002826
238,9002980
238,218732
263,37635
263,37629
243,71122
243,72477
244,106931
244,70639
244,173641
244,9008155
244,39043
244,70879
244,70896
244,106265
244,70734
244,70947
244,71091
244,71120
246,164556
246,33411
246,237001
249,32150
249,110929
249,32198
249,32199
249,32450
261,235595
261,142160
261,23093
261,114275
261,23079
261,23230
262,37741
262,37736
