,access,bicycle,bridge,bridge:movable,bridge:name,bridge:wikidata,bridge:wikipedia,button_operated,check_date:surface,condition,construction,covered,crossing,crossing:island,crossing:markings,cutting,cycleway,description,foot,foot:conditional,footway,handrail,handrail:left,handrail:right,highway,horse,incline,inline_skates,kerb,lanes,layer,lcn,level,lit,motor_vehicle,name,name:pronunciation,name:ru,note,oneway,oneway:bicycle,oneway:foot,operator,ramp,ramp:bicycle,ramp:stroller,segregated,sidewalk,ski,smoothness,snowmobile,source,step_count,stroller,surface,tactile_paving,tiger:cfcc,tiger:county,tiger:name_base,tiger:zip_left,tiger:zip_right,tunnel,wheelchair,width,wikidata,wikipedia,geometry
170,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,South Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-73.9963586 40.7092845, -73.9978539 40.7090507, -73.9986596 40.7089226, -73.9990207 40.7088672, -73.9991867 40.7088417)"
14727,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9963586 40.7092845, -73.9963533 40.7092641)"
14726,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,South Street,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,"LINESTRING (-73.9963586 40.7092845, -73.9963013 40.7092891)"
21038,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0034334 40.7068453, -74.0034307 40.7068418, -74.0034205 40.7068297)"
21015,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0038854 40.7068937, -74.0038953 40.7069072)"
21052,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0034766 40.7068961, -74.0034855 40.7069068)"
21051,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0035729 40.7069125, -74.0035507 40.706923)"
6804,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0024495 40.7067355, -74.0027835 40.7071516, -74.002798 40.7071687)"
21016,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paving_stones,,,,,,,,,,,,"LINESTRING (-74.0038488 40.7069802, -74.0038923 40.7069606)"
6745,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (-74.0014384 40.7073119, -74.0023179 40.7068108, -74.0023374 40.7068003)"
